EHDSAddress; ; 0..*; EHDS refined base model for Address structure; ;   ; Address model 
EHDSMedicationAdministration; header.author[x]; 0..*; Author(s) responsible for the provided information. The exact role of the responsible author varies across use cases and is specific to individual models.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; Responsible person for recording the administration (this may be the performer) 
EHDSMedicationAdministration; header.author[x]; 0..*; Author(s) responsible for the provided information. The exact role of the responsible author varies across use cases and is specific to individual models.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation;   ; Responsible person for recording the administration (this may be the performer) 
EHDSMedicationAdministration; header.author[x]; 0..*; Author(s) responsible for the provided information. The exact role of the responsible author varies across use cases and is specific to individual models.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice;   ; Responsible person for recording the administration (this may be the performer) 
EHDSMedicationAdministration; header.date; 0..1; Date and optionally time of authoring/issuing; dateTime;   ; Date and optionally time of authoring/issuing 
EHDSMedicationAdministration; header.status; 1..1; Status of the resource or document; CodeableConcept; HL7 MedicationAdministration Status Codes (preferred)  ; Status of the administration (e.g. completed, on-hold) 
EHDSMedicationAdministration; header.source; 0..1; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.; CodeableConcept;   ; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information. 
EHDSMedicationAdministration; header.language; 0..1; Language in which the resource is written. Language is expressed by the IETF language tag.; CodeableConcept; BCP 47 (preferred)  ; Language in which the resource is written. Language is expressed by the IETF language tag. 
EHDSMedicationAdministration; medication; 1..1; Administered medication; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSMedication;   ; Administered medication 
EHDSMedicationAdministration; occurrence[x]; 1..1; Specific date/time or interval of time during which the administration took place (or did not take place); dateTime;   ; Specific date/time or interval of time during which the administration took place (or did not take place) 
EHDSMedicationAdministration; occurrence[x]; 1..1; Specific date/time or interval of time during which the administration took place (or did not take place); Period;   ; Specific date/time or interval of time during which the administration took place (or did not take place) 
EHDSMedicationAdministration; reason[x]; 0..*; Condition or observation that supports why the medication was administered; CodeableConcept;   ; Condition or observation that supports why the medication was administered 
EHDSMedicationAdministration; reason[x]; 0..*; Condition or observation that supports why the medication was administered; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSCondition;   ; Condition or observation that supports why the medication was administered 
EHDSMedicationAdministration; reason[x]; 0..*; Condition or observation that supports why the medication was administered; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSObservation;   ; Condition or observation that supports why the medication was administered 
EHDSMedicationAdministration; dosage; 0..1; Details of how medication was taken/administered; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSAdministeredDosage;   ; Details of how medication was taken/administered 
EHDSMedicationAdministration; note; 0..1; Textual information about the administration; string;   ; Textual information about the administration 
EHDSMedicationAdministrationLaboratoryObligations; ; 0..*; The model covers details about single medication administrations within the scope of imaging and laboratory procedures.; ;   ; Medication administration model 
EHDSMedicationAdministrationLaboratoryObligations; ; 1..1; Basic metadata for this information; Base;   ; Basic metadata for this information 
EHDSMedicationAdministrationLaboratoryObligations; ; 1..1; Patient/subject information; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient;   ; Patient/subject information 
EHDSMedicationAdministrationLaboratoryObligations; ; 0..*; Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).; Identifier;   ; Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries). 
EHDSMedicationAdministrationLaboratoryObligations; ; 0..*; Author(s) responsible for the provided information. The exact role of the responsible author varies across use cases and is specific to individual models.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; Responsible person for recording the administration (this may be the performer) 
EHDSMedicationAdministrationLaboratoryObligations; ; 0..*; Author(s) responsible for the provided information. The exact role of the responsible author varies across use cases and is specific to individual models.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation;   ; Responsible person for recording the administration (this may be the performer) 
EHDSMedicationAdministrationLaboratoryObligations; ; 0..*; Author(s) responsible for the provided information. The exact role of the responsible author varies across use cases and is specific to individual models.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice;   ; Responsible person for recording the administration (this may be the performer) 
EHDSMedicationAdministrationLaboratoryObligations; ; 0..1; Date and optionally time of authoring/issuing; dateTime;   ; Date and optionally time of authoring/issuing 
EHDSMedicationAdministrationLaboratoryObligations; ; 1..1; Status of the resource or document; CodeableConcept; HL7 MedicationAdministration Status Codes (preferred)  ; Status of the administration (e.g. completed, on-hold) 
EHDSMedicationAdministrationLaboratoryObligations; ; 0..1; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.; CodeableConcept;   ; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information. 
EHDSMedicationAdministrationLaboratoryObligations; ; 0..1; Language in which the resource is written. Language is expressed by the IETF language tag.; CodeableConcept; BCP 47 (preferred)  ; Language in which the resource is written. Language is expressed by the IETF language tag. 
EHDSMedicationAdministrationLaboratoryObligations; ; 1..1; Administered medication; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSMedication;   ; Administered medication 
EHDSMedicationAdministrationLaboratoryObligations; ; 1..1; Specific date/time or interval of time during which the administration took place (or did not take place); dateTime;   ; Specific date/time or interval of time during which the administration took place (or did not take place) 
EHDSMedicationAdministrationLaboratoryObligations; ; 1..1; Specific date/time or interval of time during which the administration took place (or did not take place); Period;   ; Specific date/time or interval of time during which the administration took place (or did not take place) 
EHDSMedicationAdministrationLaboratoryObligations; nceDateTime; 0..1; Specific date/time or interval of time during which the administration took place (or did not take place); dateTime;   ; Specific date/time or interval of time during which the administration took place (or did not take place) 
EHDSMedicationAdministrationLaboratoryObligations; ncePeriod; 0..1; Specific date/time or interval of time during which the administration took place (or did not take place); Period;   ; Specific date/time or interval of time during which the administration took place (or did not take place) 
EHDSMedicationAdministrationLaboratoryObligations; ; 0..*; Condition or observation that supports why the medication was administered; CodeableConcept;   ; Condition or observation that supports why the medication was administered 
EHDSMedicationAdministrationLaboratoryObligations; ; 0..*; Condition or observation that supports why the medication was administered; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSCondition;   ; Condition or observation that supports why the medication was administered 
EHDSMedicationAdministrationLaboratoryObligations; ; 0..*; Condition or observation that supports why the medication was administered; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSObservation;   ; Condition or observation that supports why the medication was administered 
EHDSMedicationAdministrationLaboratoryObligations; ; 0..1; Details of how medication was taken/administered; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSAdministeredDosage;   ; Details of how medication was taken/administered 
EHDSMedicationAdministrationLaboratoryObligations; ; 0..1; Textual information about the administration; string;   ; Textual information about the administration 
EHDSMedicationAdministrationObligations; ; 0..*; The model covers details about single medication administrations within the scope of imaging and laboratory procedures.; ;   ; Medication administration model 
EHDSMedicationAdministrationObligations; ; 1..1; Basic metadata for this information; Base;   ; Basic metadata for this information 
EHDSMedicationAdministrationObligations; ect; 1..1; Patient/subject information; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient;   ; Patient/subject information 
EHDSMedicationAdministrationObligations; tifier; 0..*; Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).; Identifier;   ; Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries). 
EHDSMedicationAdministrationObligations; or[x]; 0..*; Author(s) responsible for the provided information. The exact role of the responsible author varies across use cases and is specific to individual models.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; Responsible person for recording the administration (this may be the performer) 
EHDSMedicationAdministrationObligations; or[x]; 0..*; Author(s) responsible for the provided information. The exact role of the responsible author varies across use cases and is specific to individual models.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation;   ; Responsible person for recording the administration (this may be the performer) 
EHDSMedicationAdministrationObligations; or[x]; 0..*; Author(s) responsible for the provided information. The exact role of the responsible author varies across use cases and is specific to individual models.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice;   ; Responsible person for recording the administration (this may be the performer) 
EHDSMedicationAdministrationObligations; ; 0..1; Date and optionally time of authoring/issuing; dateTime;   ; Date and optionally time of authoring/issuing 
EHDSMedicationAdministrationObligations; us; 1..1; Status of the resource or document; CodeableConcept; HL7 MedicationAdministration Status Codes (preferred)  ; Status of the administration (e.g. completed, on-hold) 
EHDSMedicationAdministrationObligations; ce; 0..1; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.; CodeableConcept;   ; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information. 
EHDSMedicationAdministrationObligations; uage; 0..1; Language in which the resource is written. Language is expressed by the IETF language tag.; CodeableConcept; BCP 47 (preferred)  ; Language in which the resource is written. Language is expressed by the IETF language tag. 
EHDSMedicationAdministrationObligations; ; 1..1; Administered medication; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSMedication;   ; Administered medication 
EHDSMedicationAdministrationObligations; x]; 1..1; Specific date/time or interval of time during which the administration took place (or did not take place); dateTime;   ; Specific date/time or interval of time during which the administration took place (or did not take place) 
EHDSMedicationAdministrationObligations; x]; 1..1; Specific date/time or interval of time during which the administration took place (or did not take place); Period;   ; Specific date/time or interval of time during which the administration took place (or did not take place) 
EHDSMedicationAdministrationObligations; ; 0..*; Condition or observation that supports why the medication was administered; CodeableConcept;   ; Condition or observation that supports why the medication was administered 
EHDSMedicationAdministrationObligations; ; 0..*; Condition or observation that supports why the medication was administered; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSCondition;   ; Condition or observation that supports why the medication was administered 
EHDSMedicationAdministrationObligations; ; 0..*; Condition or observation that supports why the medication was administered; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSObservation;   ; Condition or observation that supports why the medication was administered 
EHDSMedicationAdministrationObligations; ; 0..1; Details of how medication was taken/administered; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSAdministeredDosage;   ; Details of how medication was taken/administered 
EHDSMedicationAdministrationObligations; ; 0..1; Textual information about the administration; string;   ; Textual information about the administration 
EHDSMedicationDispense; ; 0..*; Logical model for medication dispensation (based on a request and dispensed in a pharmacy). Implementers should take into account, if allowed and needed, the calculation of remaining dispensable product based on this information.; ;   ; Medication dispense model 
EHDSMedicationDispense; header; 1..1; Basic metadata for this information; Base;   ; Basic metadata for this information 
EHDSMedicationDispense; header.subject; 1..1; The person for whom the medication is prescribed. [Used for searching]; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient;   ; The person for whom the medication is prescribed. [Used for searching] 
EHDSMedicationDispense; header.identifier; 0..*; Business identifier(s) for the dispense record. [Used for searching]; Identifier;   ; Business identifier(s) for the dispense record. [Used for searching] 
EHDSMedicationDispense; header.author[x]; 1..*; The actor who issued the dispense record. Responsibility for the dispense should be traceable from this information.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; The actor who issued the dispense record. Responsibility for the dispense should be traceable from this information. 
EHDSMedicationDispense; header.author[x]; 1..*; The actor who issued the dispense record. Responsibility for the dispense should be traceable from this information.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation;   ; The actor who issued the dispense record. Responsibility for the dispense should be traceable from this information. 
EHDSMedicationDispense; header.author[x]; 1..*; The actor who issued the dispense record. Responsibility for the dispense should be traceable from this information.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice;   ; The actor who issued the dispense record. Responsibility for the dispense should be traceable from this information. 
EHDSMedicationDispense; header.date; 1..1; Date and time of issuing the dispense record. [Used for searching]; dateTime;   ; Date and time of issuing the dispense record. [Used for searching] 
EHDSMedicationDispense; header.status; 1..1; The status of the dispense, e.g. completed, declined, entered-in-error. [Used for searching]; CodeableConcept; HL7 MedicationDispense Status Codes (preferred)  ; The status of the dispense, e.g. completed, declined, entered-in-error. [Used for searching] 
EHDSMedicationDispense; header.source; 0..0; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.; CodeableConcept;   ; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information. 
EHDSMedicationDispense; header.language; 0..1; Language in which the resource is written. Language is expressed by the IETF language tag.; CodeableConcept; BCP 47 (preferred)  ; Language in which the resource is written. Language is expressed by the IETF language tag. 
EHDSMedicationDispense; dispenseLocation; 0..1; Location of dispense; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSLocation;   ; Location of dispense 
EHDSMedicationDispense; receiver[x]; 0..1; Identification of the person who received the dispensed medication, especially when it was not the patient. When not present, it is assumed that the patient is the receiver.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient;   ; Identification of the person who received the dispensed medication, especially when it was not the patient. When not present, it is assumed that the patient is the receiver. 
EHDSMedicationDispense; receiver[x]; 0..1; Identification of the person who received the dispensed medication, especially when it was not the patient. When not present, it is assumed that the patient is the receiver.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; Identification of the person who received the dispensed medication, especially when it was not the patient. When not present, it is assumed that the patient is the receiver. 
EHDSMedicationDispense; receiver[x]; 0..1; Identification of the person who received the dispensed medication, especially when it was not the patient. When not present, it is assumed that the patient is the receiver.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSRelatedPerson;   ; Identification of the person who received the dispensed medication, especially when it was not the patient. When not present, it is assumed that the patient is the receiver. 
EHDSMedicationDispense; relatedRequest; 0..*; Identifier of the prescription item the dispense is related to.  [Used for searching]; Identifier;   ; Identifier of the prescription item the dispense is related to.  [Used for searching] 
EHDSMedicationDispense; medication; 1..1; Exact dispensed product. If multiple medications are dispensed together, multiple dispense records should be created.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSMedication;   ; Exact dispensed product. If multiple medications are dispensed together, multiple dispense records should be created. 
EHDSMedicationDispense; dispensedQuantity; 1..1; Number of dispensed packages if the package size is known, or number of smaller items/units, according to the medication dispensed. A unit is expected.; Quantity; UCUM, EDQM Standard Terms (preferred)  ; Number of dispensed packages if the package size is known, or number of smaller items/units, according to the medication dispensed. A unit is expected. 
EHDSMedicationDispense; timeOfDispensation; 0..1; Date and time when medication was handed over. When not present, the time of dispensation is assumed to be the time of issuing dispense record.; dateTime;   ; Date and time when medication was handed over. When not present, the time of dispensation is assumed to be the time of issuing dispense record. 
EHDSMedicationDispense; substitutionOccurred; 0..1; Whether substitution was made by the dispenser. Definition of substitution is specific to the jurisdiction.; boolean;   ; Whether substitution was made by the dispenser. Definition of substitution is specific to the jurisdiction. 
EHDSMedicationDispense; dosageInstructions; 0..1; Dosage and administration instructions; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDosage;   ; Dosage and administration instructions 
EHDSMedicationDispense; note; 0..1; Additional information or comments; string;   ; Additional information or comments 
EHDSMedicationDispenseObligations; ; 0..*; Logical model for medication dispensation (based on a request and dispensed in a pharmacy). Implementers should take into account, if allowed and needed, the calculation of remaining dispensable product based on this information.; ;   ; Medication dispense model 
EHDSMedicationDispenseObligations; ; 1..1; Basic metadata for this information; Base;   ; Basic metadata for this information 
EHDSMedicationDispenseObligations; ect; 1..1; The person for whom the medication is prescribed. [Used for searching]; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient;   ; The person for whom the medication is prescribed. [Used for searching] 
EHDSMedicationDispenseObligations; tifier; 0..*; Business identifier(s) for the dispense record. [Used for searching]; Identifier;   ; Business identifier(s) for the dispense record. [Used for searching] 
EHDSMedicationDispenseObligations; or[x]; 1..*; The actor who issued the dispense record. Responsibility for the dispense should be traceable from this information.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; The actor who issued the dispense record. Responsibility for the dispense should be traceable from this information. 
EHDSMedicationDispenseObligations; or[x]; 1..*; The actor who issued the dispense record. Responsibility for the dispense should be traceable from this information.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation;   ; The actor who issued the dispense record. Responsibility for the dispense should be traceable from this information. 
EHDSMedicationDispenseObligations; or[x]; 1..*; The actor who issued the dispense record. Responsibility for the dispense should be traceable from this information.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice;   ; The actor who issued the dispense record. Responsibility for the dispense should be traceable from this information. 
EHDSMedicationDispenseObligations; ; 1..1; Date and time of issuing the dispense record. [Used for searching]; dateTime;   ; Date and time of issuing the dispense record. [Used for searching] 
EHDSMedicationDispenseObligations; us; 1..1; The status of the dispense, e.g. completed, declined, entered-in-error. [Used for searching]; CodeableConcept; HL7 MedicationDispense Status Codes (preferred)  ; The status of the dispense, e.g. completed, declined, entered-in-error. [Used for searching] 
EHDSMedicationDispenseObligations; ce; 0..0; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.; CodeableConcept;   ; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information. 
EHDSMedicationDispenseObligations; uage; 0..1; Language in which the resource is written. Language is expressed by the IETF language tag.; CodeableConcept; BCP 47 (preferred)  ; Language in which the resource is written. Language is expressed by the IETF language tag. 
EHDSMedicationDispenseObligations; ation; 0..1; Location of dispense; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSLocation;   ; Location of dispense 
EHDSMedicationDispenseObligations; ; 0..1; Identification of the person who received the dispensed medication, especially when it was not the patient. When not present, it is assumed that the patient is the receiver.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient;   ; Identification of the person who received the dispensed medication, especially when it was not the patient. When not present, it is assumed that the patient is the receiver. 
EHDSMedicationDispenseObligations; ; 0..1; Identification of the person who received the dispensed medication, especially when it was not the patient. When not present, it is assumed that the patient is the receiver.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; Identification of the person who received the dispensed medication, especially when it was not the patient. When not present, it is assumed that the patient is the receiver. 
EHDSMedicationDispenseObligations; ; 0..1; Identification of the person who received the dispensed medication, especially when it was not the patient. When not present, it is assumed that the patient is the receiver.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSRelatedPerson;   ; Identification of the person who received the dispensed medication, especially when it was not the patient. When not present, it is assumed that the patient is the receiver. 
EHDSMedicationDispenseObligations; est; 0..*; Identifier of the prescription item the dispense is related to.  [Used for searching]; Identifier;   ; Identifier of the prescription item the dispense is related to.  [Used for searching] 
EHDSMedicationDispenseObligations; ; 1..1; Exact dispensed product. If multiple medications are dispensed together, multiple dispense records should be created.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSMedication;   ; Exact dispensed product. If multiple medications are dispensed together, multiple dispense records should be created. 
EHDSMedicationDispenseObligations; antity; 1..1; Number of dispensed packages if the package size is known, or number of smaller items/units, according to the medication dispensed. A unit is expected.; Quantity; UCUM, EDQM Standard Terms (preferred)  ; Number of dispensed packages if the package size is known, or number of smaller items/units, according to the medication dispensed. A unit is expected. 
EHDSMedicationDispenseObligations; nsation; 0..1; Date and time when medication was handed over. When not present, the time of dispensation is assumed to be the time of issuing dispense record.; dateTime;   ; Date and time when medication was handed over. When not present, the time of dispensation is assumed to be the time of issuing dispense record. 
EHDSMedicationDispenseObligations; nOccurred; 0..1; Whether substitution was made by the dispenser. Definition of substitution is specific to the jurisdiction.; boolean;   ; Whether substitution was made by the dispenser. Definition of substitution is specific to the jurisdiction. 
EHDSMedicationDispenseObligations; uctions; 0..1; Dosage and administration instructions; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDosage;   ; Dosage and administration instructions 
EHDSMedicationDispenseObligations; ; 0..1; Additional information or comments; string;   ; Additional information or comments 
EHDSMedicationLaboratoryObligations; ; 0..*; Logical model for prescribed/dispensed medication. The model is shared by statements, requests, dispensations, and administrations. Each of those may have different restrictions in a FHIR profile. The model is suitable for generic/virtual medications as well as branded/real products. The model aims to have basic alignment with ISO IDMP but it does not cover the full complexity needed for medication registries.; ;   ; Medication model 
EHDSMedicationLaboratoryObligations; ; 0..*; An identifier (e.g. from EMA SPOR PMS or national registry) or a code (e.g. from SNOMED CT or national code system) for the product (virtual product, branded product, or package). If several identifiers are specified, they shall not have conflicting meanings or very different granularities. An identifier might not exist e.g. for substance-based prescriptions.; CodeableConcept;   ; An identifier (e.g. from EMA SPOR PMS or national registry) or a code (e.g. from SNOMED CT or national code system) for the product (virtual product, branded product, or package). If several identifiers are specified, they shall not have conflicting meanings or very different granularities. An identifier might not exist e.g. for substance-based prescriptions. 
EHDSMedicationLaboratoryObligations; ; 0..*; An identifier (e.g. from EMA SPOR PMS or national registry) or a code (e.g. from SNOMED CT or national code system) for the product (virtual product, branded product, or package). If several identifiers are specified, they shall not have conflicting meanings or very different granularities. An identifier might not exist e.g. for substance-based prescriptions.; Identifier;   ; An identifier (e.g. from EMA SPOR PMS or national registry) or a code (e.g. from SNOMED CT or national code system) for the product (virtual product, branded product, or package). If several identifiers are specified, they shall not have conflicting meanings or very different granularities. An identifier might not exist e.g. for substance-based prescriptions. 
EHDSMedicationLaboratoryObligations; ; 0..*; Classification (e.g. ATC, narcotic/psychotropic, orphan drug, etc.); CodeableConcept; WHO ATC (preferred)  ; Classification (e.g. ATC, narcotic/psychotropic; orphan drug; etc.) 
EHDSMedicationLaboratoryObligations; ; 0..1; Current trade name (authorised name) of the product. When medication is specified by a CodeableConcept, the name may be omitted when available as the display name of the concept.; string;   ; Current trade name (authorised name) of the product. When medication is specified by a CodeableConcept, the name may be omitted when available as the display name of the concept. 
EHDSMedicationLaboratoryObligations; nHolder; 0..1; Marketing authorisation holder of the medicinal product. Relevant for identifying the exact product. If the product does not have a marketing authorisation, the manufacturer information may be used.; Base;   ; Marketing authorisation holder of the medicinal product. Relevant for identifying the exact product. If the product does not have a marketing authorisation, the manufacturer information may be used. 
EHDSMedicationLaboratoryObligations; nHolder.organisationName; 0..1; Name of the organisation holding the authorisation for marketing/manufacturing; string;   ; Name of the organisation holding the authorisation for marketing/manufacturing 
EHDSMedicationLaboratoryObligations; nHolder.organisationIdentifier; 0..*; Identifier of the organisation and/or its physical location; Identifier;   ; Identifier of the organisation and/or its physical location 
EHDSMedicationLaboratoryObligations; ; 0..1; Dose form at the package level (e.g. authorised dose form), corresponding to IDMP Combined Pharmaceutical Dose Form (this includes terms from EDQM Combination Pack or Combined Dose Form lists). Dose form for a single package item is defined in item.doseForm.; CodeableConcept; EDQM Standard Terms (preferred)  ; Dose form at the package level (e.g. authorised dose form), corresponding to IDMP Combined Pharmaceutical Dose Form (this includes terms from EDQM Combination Pack or Combined Dose Form lists). Dose form for a single package item is defined in item.doseForm. 
EHDSMedicationLaboratoryObligations; ; 0..1; Textual description of the product, e.g. including package description.; string;   ; Textual description of the product, e.g. including package description. 
EHDSMedicationLaboratoryObligations; ; 0..*; A medication item. For combination packs, this can be multiple manufactured items with each item having its own dose form and ingredients+strengths defined; Base;   ; A medication item. For combination packs, this can be multiple manufactured items with each item having its own dose form and ingredients+strengths defined 
EHDSMedicationLaboratoryObligations; ; 0..1; Administrable or manufactured item dose form, depending on the type of medication definition. This should not include combined dose forms.; CodeableConcept; EDQM Standard Terms (preferred)  ; Administrable or manufactured item dose form, depending on the type of medication definition. This should not include combined dose forms. 
EHDSMedicationLaboratoryObligations; ; 1..*; Ingredients; Base;   ; Ingredients 
EHDSMedicationLaboratoryObligations; ive; 0..1; Marks whether the ingredient is considered an active ingredient. Excipients are typically not needed, and by default only active ingredients are expected.; boolean;   ; Marks whether the ingredient is considered an active ingredient. Excipients are typically not needed, and by default only active ingredients are expected. 
EHDSMedicationLaboratoryObligations; ance; 1..1; Substance; CodeableConcept; EMA SPOR SMS (preferred)  ; Substance 
EHDSMedicationLaboratoryObligations; gthInfo; 0..1; Strength of the product - amount of substance per unit; Base;   ; Strength of the product - amount of substance per unit 
EHDSMedicationLaboratoryObligations; gthInfo.strength; 1..1; Concentration or presentation strength, e.g '100 mg/1 ml' or '500 mg per 1 tablet'; Ratio;   ; Concentration or presentation strength, e.g '100 mg/1 ml' or '500 mg per 1 tablet' 
EHDSMedicationLaboratoryObligations; gthInfo.basisOfStrengthSubstance; 0..1; Substance that the strength refers to, especially when different from .item.strength.substance; CodeableConcept; EMA SPOR SMS (preferred)  ; Substance that the strength refers to, especially when different from .item.strength.substance 
EHDSMedicationLaboratoryObligations; on; 0..1; Unit of presentation for the manufactured item (tablet, vial, tube). Typically, the smallest countable object in the package.; CodeableConcept; EDQM Standard Terms (preferred)  ; Unit of presentation for the manufactured item (tablet, vial, tube). Typically, the smallest countable object in the package. 
EHDSMedicationLaboratoryObligations; y; 0..1; Manufactured item quantity per one item (3 ml / 1 vial); Ratio;   ; Manufactured item quantity per one item (3 ml / 1 vial) 
EHDSMedicationLaboratoryObligations; ; 0..1; Number of such items in this product (5 vials). The combined amount of all items will be considered to be the total package size.; Quantity; UCUM for units of measure. EDQM Standard Terms for units of presentation. (preferred)  ; Number of such items in this product (5 vials). The combined amount of all items will be considered to be the total package size. 
EHDSMedicationLaboratoryObligations; ; 0..1; Type of package of the medication item; CodeableConcept; EDQM Standard Terms for packaging. (preferred)  ; Type of package of the medication item 
EHDSMedicationLaboratoryObligations; ; 0..*; Administration device included in the product. Devices that are not inside the medication package are excluded.; Base;   ; Administration device included in the product. Devices that are not inside the medication package are excluded. 
EHDSMedicationLaboratoryObligations; ; 1..1; Number of such devices; Quantity;   ; Number of such devices 
EHDSMedicationLaboratoryObligations; ; 1..1; Device coded; CodeableConcept;   ; Device coded 
EHDSMedicationLaboratoryObligations; ; 1..1; Device coded; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice;   ; Device coded 
EHDSMedicationLaboratoryObligations; ; 0..*; Additional features of the product (e.g. reimbursable, sugar-free, easy-open cap, score-lined). It is expected that implementers will define a valueset supporting their use cases.; Base;   ; Additional features of the product (e.g. reimbursable, sugar-free, easy-open cap, score-lined). It is expected that implementers will define a valueset supporting their use cases. 
EHDSMedicationLaboratoryObligations; ; 1..1; A code expressing the type of characteristic.; CodeableConcept;   ; A code expressing the type of characteristic. 
EHDSMedicationLaboratoryObligations; x]; 0..1; Description of the characteristic value.; boolean;   ; Description of the characteristic value. 
EHDSMedicationLaboratoryObligations; x]; 0..1; Description of the characteristic value.; CodeableConcept;   ; Description of the characteristic value. 
EHDSMedicationLaboratoryObligations; x]; 0..1; Description of the characteristic value.; string;   ; Description of the characteristic value. 
EHDSMedicationLaboratoryObligations; x]; 0..1; Description of the characteristic value.; Quantity;   ; Description of the characteristic value. 
EHDSMedicationLaboratoryObligations; x]; 0..1; Description of the characteristic value.; dateTime;   ; Description of the characteristic value. 
EHDSMedicationLaboratoryObligations; x]; 0..1; Description of the characteristic value.; integer;   ; Description of the characteristic value. 
EHDSMedicationLaboratoryObligations; x]; 0..1; Description of the characteristic value.; decimal;   ; Description of the characteristic value. 
EHDSMedicationLaboratoryObligations; x]; 0..1; Description of the characteristic value.; Ratio;   ; Description of the characteristic value. 
EHDSMedicationLaboratoryObligations; ; 0..1; Batch information of a medicinal product. Typically recorded during dispense or administration, rarely known or relevant for a prescription/request.; Base;   ; Batch information of a medicinal product. Typically recorded during dispense or administration, rarely known or relevant for a prescription/request. 
EHDSMedicationLaboratoryObligations; ; 0..1; Batch identifier of the medicinal product.; string;   ; Batch identifier of the medicinal product. 
EHDSMedicationLaboratoryObligations; ; 0..1; Batch expiration date of the medicinal product.; dateTime;   ; Batch expiration date of the medicinal product. 
